"volunteer_id","name","major_city","state","skills","availability"
203,"Jensen, Hope","Summerton","SC","Housekeeping and cleaning, Walking and exercise assistance, Meal preparation and cooking, Personal care assistance (dressing, bathing), Fall prevention assistance","Tue 14-17, Mon 9-12, Mon 9-12"
204,"Gehring, Claire","Norfolk","VA","Reading aloud (books, newspapers), Running errands (post office, pharmacy)","Tue 14-17, Mon 9-12, Tue 14-17"
205,"Chinery, Sara","Jean","NV","Personal care assistance (dressing, bathing), Reading aloud (books, newspapers), Legal assistance referrals, Pet care (walking, feeding), Companionship (social outings, visits), Volunteer coordination, Tech support (computers, phones, tablets), Music and entertainment (playing instruments, singing)","Mon 9-12, Tue 14-17"
206,"Chun, Darrel","Lexington","KY","Pet care (walking, feeding), Legal assistance referrals, Running errands (post office, pharmacy), Assistive technology training, Gardening and yard work, Home accessibility modifications","Mon 9-12, Tue 14-17"
207,"Maes, Andrea","Wakefield","RI","Running errands (post office, pharmacy), Transportation (driving, accompanying), Walking and exercise assistance, Arts and crafts instruction","Mon 9-12, Mon 9-12"
208,"el-Turay, Hibbaan","Melmore","OH","Housekeeping and cleaning, Travel companionship, Social event planning, Social event planning","Tue 14-17, Tue 14-17"
209,"Flores, Alexandra","Lafayette","LA","Home accessibility modifications","Mon 9-12, Tue 14-17, Tue 14-17"
210,"Gracey, Dylan","Washington","DC","Grocery shopping assistance, Financial management assistance (budgeting)","Mon 9-12, Tue 14-17, Tue 14-17"
211,"el-Rayes, Ghaazi","Rochester","NY","Meal preparation and cooking, Assistive technology training, Travel companionship, Educational program development, Grocery shopping assistance","Tue 14-17, Tue 14-17"
212,"Nehme, Garrett","Elderon","WI","Legal assistance referrals, Home safety assessments, Senior center activities organization, Meal preparation and cooking, Educational program development, Grocery shopping assistance, Financial management assistance (budgeting)","Mon 9-12, Tue 14-17, Mon 9-12"
213,"Bitton, Brianna","Kathleen","FL","Medication reminders (non-medical), Minor home repairs (plumbing, electrical), Grocery shopping assistance, Minor home repairs (plumbing, electrical)","Tue 14-17, Tue 14-17, Mon 9-12"
214,"Jacket, Deion","Sacramento","CA","Grocery shopping assistance, Transportation (driving, accompanying)","Mon 9-12, Tue 14-17, Tue 14-17"
215,"Montesinos-Torres, Rosa Maria","Colville","WA","Fall prevention assistance","Mon 9-12, Mon 9-12"
216,"Baca, Alexandro","Humble","TX","Pet care (walking, feeding), Fall prevention assistance","Mon 9-12, Mon 9-12, Mon 9-12"
217,"Chang, Nancy","Donnellson","IL","Companionship (social outings, visits), Mental wellness support (non-clinical), Social event planning, Pet care (walking, feeding)","Mon 9-12, Tue 14-17"
218,"Pohl, Cierra","Houston","TX","Arts and crafts instruction","Mon 9-12, Tue 14-17, Mon 9-12"
219,"Bowen, Jesse","Rockville","NE","Pet care (walking, feeding), Walking and exercise assistance, Educational program development, Fall prevention assistance, Gardening and yard work, Music and entertainment (playing instruments, singing), Grocery shopping assistance","Mon 9-12, Tue 14-17, Mon 9-12"
220,"Monzingo, Samantha","Wasco","CA","Running errands (post office, pharmacy), Senior center activities organization","Tue 14-17, Tue 14-17"
221,"Sun, Elise","Marine On Saint Croix","MN","Assistive technology training, Financial management assistance (budgeting), Reading aloud (books, newspapers)","Mon 9-12, Mon 9-12, Tue 14-17"
222,"Rodriguez, Victor","Bath","IN","Transportation (driving, accompanying), Volunteer coordination, Personal care assistance (dressing, bathing), Housekeeping and cleaning","Mon 9-12, Mon 9-12, Tue 14-17"
223,"Chavez, Montserat","Maysel","WV","Walking and exercise assistance, Respite care (for family caregivers), Medication reminders (non-medical), Senior center activities organization, Travel companionship","Mon 9-12, Tue 14-17"
224,"Georgoulias, Genia","Jerome","PA","Meal preparation and cooking, Walking and exercise assistance, Music and entertainment (playing instruments, singing)","Tue 14-17, Mon 9-12"
225,"Christy, Julia","Bellville","TX","Personal care assistance (dressing, bathing), Playing games (cards, board games), Companionship (social outings, visits), Fall prevention assistance, Playing games (cards, board games), Medication reminders (non-medical)","Tue 14-17, Tue 14-17"
226,"Wilson, Christopher","Jerseyville","IL","Walking and exercise assistance","Tue 14-17, Mon 9-12, Mon 9-12"
227,"De Santiago Garcia, Isiah","Richfield","NC","Music and entertainment (playing instruments, singing), Minor home repairs (plumbing, electrical), Home accessibility modifications, Financial management assistance (budgeting), Walking and exercise assistance","Tue 14-17, Tue 14-17"
228,"Klatman, Dylan","Highgate Springs","VT","Medication reminders (non-medical), Arts and crafts instruction, Volunteer coordination, Meal preparation and cooking","Tue 14-17, Mon 9-12"
229,"Lee, Nongkhan","Middle Village","NY","Assistive technology training, Grocery shopping assistance, Gardening and yard work, Running errands (post office, pharmacy), Playing games (cards, board games), Arts and crafts instruction, Volunteer coordination","Tue 14-17, Mon 9-12"
230,"Goetsch, Yu","Dry Prong","LA","Meal preparation and cooking, Home accessibility modifications, Personal care assistance (dressing, bathing), Volunteer coordination","Tue 14-17, Mon 9-12"
231,"Vargo, Mark","Alpine","TX","Volunteer coordination, Legal assistance referrals","Mon 9-12, Tue 14-17, Mon 9-12"
232,"Vair, Sarah","Indianapolis","IN","Home safety assessments, Arts and crafts instruction","Tue 14-17, Tue 14-17, Tue 14-17"
233,"Gonzales, Martha","Garland","ME","Financial management assistance (budgeting), Gardening and yard work, Arts and crafts instruction","Mon 9-12, Tue 14-17"
234,"Villalobos-Chavez, Carina","Ropesville","TX","Fall prevention assistance, Volunteer coordination, Travel companionship, Running errands (post office, pharmacy), Walking and exercise assistance","Mon 9-12, Mon 9-12"
235,"Goering-Moore, Kinae","Cache Junction","UT","Senior center activities organization, Assistive technology training, Reading aloud (books, newspapers)","Tue 14-17, Mon 9-12"
236,"Thomas, Celyn","Robbins","CA","Reading aloud (books, newspapers), Pet care (walking, feeding), Medication reminders (non-medical), Transportation (driving, accompanying), Respite care (for family caregivers), Social event planning","Tue 14-17, Tue 14-17, Tue 14-17"
237,"al-Kamel, Nada","Stamford","CT","Reading aloud (books, newspapers), Social event planning, Home accessibility modifications, Respite care (for family caregivers), Financial management assistance (budgeting), Arts and crafts instruction","Mon 9-12, Mon 9-12"
238,"el-Aydin, Sumbula","Citrus Heights","CA","Assistive technology training, Personal care assistance (dressing, bathing), Meal preparation and cooking, Educational program development, Volunteer coordination, Walking and exercise assistance","Tue 14-17, Mon 9-12, Mon 9-12"
239,"Terry, Jimmy","West Sacramento","CA","Legal assistance referrals, Grocery shopping assistance, Pet care (walking, feeding), Grocery shopping assistance, Travel companionship","Mon 9-12, Mon 9-12"
240,"Clark, Grant","Gasburg","VA","Walking and exercise assistance, Walking and exercise assistance, Playing games (cards, board games), Gardening and yard work, Pet care (walking, feeding), Volunteer coordination","Tue 14-17, Mon 9-12"
241,"Dalke, Tyler","Adair","OK","Housekeeping and cleaning","Tue 14-17, Tue 14-17, Tue 14-17"
242,"Lin, Kaylan","Oakdale","CA","Volunteer coordination, Financial management assistance (budgeting), Assistive technology training, Pet care (walking, feeding), Respite care (for family caregivers), Tech support (computers, phones, tablets), Educational program development, Transportation (driving, accompanying)","Tue 14-17, Mon 9-12"
243,"Hall, Nicholas","Emmaus","PA","Music and entertainment (playing instruments, singing), Senior center activities organization, Legal assistance referrals, Social event planning","Mon 9-12, Mon 9-12"
244,"Chittum, Sierra","Elk Mills","MD","Financial management assistance (budgeting), Mental wellness support (non-clinical), Walking and exercise assistance, Social event planning, Financial management assistance (budgeting), Volunteer coordination","Mon 9-12, Tue 14-17, Tue 14-17"
245,"Pham, Shanhuan","West Hollywood","CA","Volunteer coordination, Meal preparation and cooking, Volunteer coordination, Meal preparation and cooking, Social event planning, Companionship (social outings, visits), Running errands (post office, pharmacy)","Tue 14-17, Mon 9-12"
246,"Chen, Jieying","Chevak","AK","Personal care assistance (dressing, bathing), Tech support (computers, phones, tablets), Legal assistance referrals, Tech support (computers, phones, tablets), Pet care (walking, feeding)","Mon 9-12, Mon 9-12, Tue 14-17"
247,"Howling, Zachary","Moss Point","MS","Minor home repairs (plumbing, electrical)","Tue 14-17, Mon 9-12"
248,"Ayon, Raymundo","Durham","NC","Legal assistance referrals, Social event planning, Running errands (post office, pharmacy), Legal assistance referrals, Pet care (walking, feeding), Home safety assessments","Mon 9-12, Mon 9-12"
249,"Cordova, Josie","Stillwater","NJ","Transportation (driving, accompanying), Social event planning, Companionship (social outings, visits)","Tue 14-17, Mon 9-12"
250,"Hernandez, Eric","Stigler","OK","Reading aloud (books, newspapers), Playing games (cards, board games), Playing games (cards, board games), Financial management assistance (budgeting), Playing games (cards, board games), Playing games (cards, board games), Educational program development","Mon 9-12, Mon 9-12, Mon 9-12"
251,"Orendorf, Taraneka","Richmond","IN","Legal assistance referrals, Running errands (post office, pharmacy), Personal care assistance (dressing, bathing), Financial management assistance (budgeting), Social event planning","Tue 14-17, Mon 9-12, Tue 14-17"
252,"al-Yassin, Asghar","Fergus Falls","MN","Music and entertainment (playing instruments, singing), Running errands (post office, pharmacy), Music and entertainment (playing instruments, singing), Arts and crafts instruction","Tue 14-17, Tue 14-17, Tue 14-17"
253,"Hom, Irene","West Bloomfield","MI","Assistive technology training, Legal assistance referrals, Senior center activities organization, Walking and exercise assistance, Arts and crafts instruction, Meal preparation and cooking, Personal care assistance (dressing, bathing)","Tue 14-17, Mon 9-12, Tue 14-17"
254,"Dedios, Cheyenne","Cypress Inn","TN","Mental wellness support (non-clinical), Assistive technology training, Meal preparation and cooking, Financial management assistance (budgeting), Volunteer coordination, Meal preparation and cooking","Mon 9-12, Mon 9-12, Tue 14-17"
255,"al-Salaam, Shamaail","Mathiston","MS","Volunteer coordination","Mon 9-12, Mon 9-12, Tue 14-17"
256,"Pascua, Robert","Healy","KS","Fall prevention assistance, Home accessibility modifications","Mon 9-12, Tue 14-17, Mon 9-12"
257,"Santee, Kiyana","Pico Rivera","CA","Legal assistance referrals, Senior center activities organization, Reading aloud (books, newspapers), Reading aloud (books, newspapers), Mental wellness support (non-clinical), Assistive technology training, Home safety assessments","Tue 14-17, Mon 9-12, Mon 9-12"
258,"Chang, Lael","Bartley","WV","Senior center activities organization, Educational program development, Playing games (cards, board games), Transportation (driving, accompanying), Minor home repairs (plumbing, electrical), Travel companionship","Mon 9-12, Mon 9-12"
259,"Garrido, Jaimie","Hanford","CA","Fall prevention assistance, Walking and exercise assistance, Minor home repairs (plumbing, electrical), Assistive technology training, Grocery shopping assistance, Walking and exercise assistance","Tue 14-17, Tue 14-17"
260,"Otsuki, Matthew","Pattersonville","NY","Grocery shopping assistance, Personal care assistance (dressing, bathing), Home safety assessments, Minor home repairs (plumbing, electrical)","Mon 9-12, Tue 14-17"
261,"al-Ramin, Jasoor","Webster","FL","Social event planning, Walking and exercise assistance, Financial management assistance (budgeting), Educational program development, Transportation (driving, accompanying), Fall prevention assistance","Mon 9-12, Mon 9-12, Mon 9-12"
262,"Chavez, Yadira","Beaumont","KY","Social event planning, Assistive technology training, Fall prevention assistance, Transportation (driving, accompanying), Personal care assistance (dressing, bathing)","Tue 14-17, Tue 14-17"
263,"al-Hashmi, Warda","Gainesville","TX","Educational program development, Social event planning, Minor home repairs (plumbing, electrical), Gardening and yard work, Pet care (walking, feeding), Mental wellness support (non-clinical), Respite care (for family caregivers), Assistive technology training","Tue 14-17, Mon 9-12"
264,"al-Can, Maahir","Essex","MT","Tech support (computers, phones, tablets), Minor home repairs (plumbing, electrical), Assistive technology training, Educational program development, Arts and crafts instruction, Arts and crafts instruction","Tue 14-17, Mon 9-12"
265,"Robbe, Monica","New Berlin","WI","Running errands (post office, pharmacy), Reading aloud (books, newspapers), Volunteer coordination, Transportation (driving, accompanying), Playing games (cards, board games), Financial management assistance (budgeting)","Mon 9-12, Mon 9-12, Tue 14-17"
266,"White Bear, Jared","Depue","IL","Home safety assessments, Music and entertainment (playing instruments, singing), Travel companionship, Travel companionship","Mon 9-12, Tue 14-17, Tue 14-17"
267,"al-Khan, Saood","Westland","PA","Companionship (social outings, visits), Respite care (for family caregivers), Legal assistance referrals","Mon 9-12, Mon 9-12, Tue 14-17"
268,"Romero, Phanesha","Pittsfield","PA","Tech support (computers, phones, tablets), Companionship (social outings, visits), Housekeeping and cleaning, Fall prevention assistance","Mon 9-12, Tue 14-17, Tue 14-17"
269,"Richardson, Polina","Mayhill","NM","Meal preparation and cooking, Tech support (computers, phones, tablets)","Mon 9-12, Mon 9-12, Mon 9-12"
270,"Levier, Melanie","Chester","NJ","Minor home repairs (plumbing, electrical), Medication reminders (non-medical), Medication reminders (non-medical), Reading aloud (books, newspapers), Senior center activities organization, Gardening and yard work","Tue 14-17, Mon 9-12, Mon 9-12"
271,"Torres Lopez, Haven","Napoleon","MI","Meal preparation and cooking, Companionship (social outings, visits), Music and entertainment (playing instruments, singing), Companionship (social outings, visits), Fall prevention assistance","Tue 14-17, Mon 9-12"
272,"Scott, Lakota","El Paso","TX","Housekeeping and cleaning, Walking and exercise assistance, Playing games (cards, board games), Volunteer coordination, Educational program development","Mon 9-12, Tue 14-17"
273,"Toney, Torrye","Sibley","IL","Legal assistance referrals, Social event planning, Respite care (for family caregivers), Financial management assistance (budgeting), Volunteer coordination, Minor home repairs (plumbing, electrical)","Mon 9-12, Mon 9-12"
274,"Chavez, Louis","Florence","SC","Medication reminders (non-medical), Meal preparation and cooking, Home safety assessments, Respite care (for family caregivers), Medication reminders (non-medical), Personal care assistance (dressing, bathing), Personal care assistance (dressing, bathing), Gardening and yard work","Mon 9-12, Mon 9-12"
275,"Elrod, Zachary","Creekside","PA","Meal preparation and cooking, Medication reminders (non-medical), Financial management assistance (budgeting)","Mon 9-12, Tue 14-17"
276,"Mcdowell, Andre","Huntington Beach","CA","Volunteer coordination, Walking and exercise assistance, Running errands (post office, pharmacy), Walking and exercise assistance, Housekeeping and cleaning, Assistive technology training","Tue 14-17, Mon 9-12, Tue 14-17"
277,"Hogeland, Denee","Bullock","NC","Companionship (social outings, visits), Senior center activities organization, Senior center activities organization","Tue 14-17, Mon 9-12"
278,"Frankmore, Sage","Atlanta","IN","Fall prevention assistance, Pet care (walking, feeding), Companionship (social outings, visits), Home accessibility modifications","Tue 14-17, Tue 14-17"
279,"Rogan, Omari","Greenwood Springs","MS","Running errands (post office, pharmacy), Tech support (computers, phones, tablets), Pet care (walking, feeding), Arts and crafts instruction, Gardening and yard work","Tue 14-17, Tue 14-17, Tue 14-17"
280,"Ochoa, Breanna","Charlotte","NC","Mental wellness support (non-clinical), Music and entertainment (playing instruments, singing), Medication reminders (non-medical), Grocery shopping assistance, Legal assistance referrals, Tech support (computers, phones, tablets), Personal care assistance (dressing, bathing), Running errands (post office, pharmacy)","Tue 14-17, Tue 14-17, Mon 9-12"
281,"Helm, Lauren","Jamestown","TN","Respite care (for family caregivers), Reading aloud (books, newspapers), Pet care (walking, feeding), Volunteer coordination, Reading aloud (books, newspapers), Travel companionship","Mon 9-12, Mon 9-12, Tue 14-17"
282,"Do, Jenny","North Hollywood","CA","Travel companionship, Meal preparation and cooking, Social event planning, Playing games (cards, board games)","Mon 9-12, Tue 14-17"
283,"Torres III, Ruth","Colome","SD","Tech support (computers, phones, tablets), Travel companionship, Arts and crafts instruction, Walking and exercise assistance, Legal assistance referrals","Tue 14-17, Tue 14-17, Mon 9-12"
284,"Martinez, Destiny","Marshall","NC","Running errands (post office, pharmacy), Fall prevention assistance, Minor home repairs (plumbing, electrical)","Mon 9-12, Tue 14-17, Tue 14-17"
285,"Heffernan, Andrew","Fort Worth","TX","Transportation (driving, accompanying), Fall prevention assistance, Home accessibility modifications, Travel companionship, Home safety assessments, Tech support (computers, phones, tablets), Minor home repairs (plumbing, electrical), Home safety assessments","Mon 9-12, Mon 9-12"
286,"Roberts, Kelsey","Gallatin","TX","Home accessibility modifications, Grocery shopping assistance","Mon 9-12, Mon 9-12"
287,"Caletena, Serena","Oneida","AR","Meal preparation and cooking, Housekeeping and cleaning","Tue 14-17, Tue 14-17"
288,"Lor, Juliette","Albany","NY","Home safety assessments, Gardening and yard work","Tue 14-17, Tue 14-17"
289,"Stevens, Emily","Plantersville","AL","Fall prevention assistance, Pet care (walking, feeding), Educational program development","Mon 9-12, Tue 14-17"
290,"Davis, Ashier","Yachats","OR","Reading aloud (books, newspapers)","Tue 14-17, Mon 9-12"
291,"Phung, Minh","Greenback","TN","Arts and crafts instruction, Playing games (cards, board games), Home safety assessments","Tue 14-17, Tue 14-17, Mon 9-12"
292,"Santiago, Tue","East Berlin","PA","Music and entertainment (playing instruments, singing), Mental wellness support (non-clinical), Grocery shopping assistance, Reading aloud (books, newspapers), Pet care (walking, feeding), Companionship (social outings, visits), Grocery shopping assistance, Legal assistance referrals","Mon 9-12, Mon 9-12"
293,"al-Saladin, Mastoor","Port Sanilac","MI","Companionship (social outings, visits), Respite care (for family caregivers), Pet care (walking, feeding), Mental wellness support (non-clinical), Financial management assistance (budgeting)","Mon 9-12, Mon 9-12"
294,"Nieto, Tanya","Robstown","TX","Mental wellness support (non-clinical)","Mon 9-12, Tue 14-17"
295,"Campbell, Michael","Weleetka","OK","Grocery shopping assistance, Respite care (for family caregivers), Assistive technology training, Senior center activities organization, Running errands (post office, pharmacy), Playing games (cards, board games), Senior center activities organization","Tue 14-17, Tue 14-17"
296,"Herman, Jacob","Columbus","OH","Home accessibility modifications, Running errands (post office, pharmacy), Legal assistance referrals, Travel companionship, Transportation (driving, accompanying), Travel companionship, Reading aloud (books, newspapers)","Mon 9-12, Mon 9-12, Mon 9-12"
297,"Stevens, Maurilio","Kouts","IN","Personal care assistance (dressing, bathing), Tech support (computers, phones, tablets), Assistive technology training, Music and entertainment (playing instruments, singing), Volunteer coordination, Educational program development, Housekeeping and cleaning, Companionship (social outings, visits)","Mon 9-12, Tue 14-17, Tue 14-17"
298,"Brown, Jordan","Los Altos","CA","Social event planning, Legal assistance referrals, Pet care (walking, feeding), Personal care assistance (dressing, bathing), Housekeeping and cleaning, Medication reminders (non-medical)","Tue 14-17, Mon 9-12"
299,"Bressler, Katelyn","Trenton","UT","Walking and exercise assistance, Gardening and yard work","Tue 14-17, Mon 9-12"
300,"Wilson, Dion","Sunbright","TN","Minor home repairs (plumbing, electrical)","Tue 14-17, Mon 9-12"
301,"Parado Irby, Shinnosuke","Lewisville","TX","Companionship (social outings, visits), Assistive technology training, Legal assistance referrals, Reading aloud (books, newspapers), Legal assistance referrals","Tue 14-17, Tue 14-17"
302,"Reyes, Evelyn","Salado","AR","Financial management assistance (budgeting), Legal assistance referrals, Mental wellness support (non-clinical), Reading aloud (books, newspapers), Meal preparation and cooking, Fall prevention assistance, Companionship (social outings, visits)","Tue 14-17, Tue 14-17, Tue 14-17"
303,"Pendell, Jordan","Cincinnati","OH","Companionship (social outings, visits), Educational program development, Reading aloud (books, newspapers), Home safety assessments, Home safety assessments, Running errands (post office, pharmacy), Reading aloud (books, newspapers)","Tue 14-17, Mon 9-12, Tue 14-17"
304,"Ortiz, Cecelia","Muir","PA","Home accessibility modifications, Fall prevention assistance, Running errands (post office, pharmacy), Tech support (computers, phones, tablets), Travel companionship, Running errands (post office, pharmacy), Social event planning, Grocery shopping assistance","Mon 9-12, Tue 14-17, Mon 9-12"
305,"al-Nazir, Shaamikh","Piedmont","SC","Playing games (cards, board games), Transportation (driving, accompanying), Home accessibility modifications, Financial management assistance (budgeting), Medication reminders (non-medical), Music and entertainment (playing instruments, singing), Gardening and yard work, Volunteer coordination","Mon 9-12, Mon 9-12"
306,"Padovich, Michael","Gravois Mills","MO","Music and entertainment (playing instruments, singing), Meal preparation and cooking, Arts and crafts instruction","Mon 9-12, Tue 14-17"
307,"Harvie, Ladonna","Dunlow","WV","Educational program development, Assistive technology training, Pet care (walking, feeding), Pet care (walking, feeding)","Mon 9-12, Tue 14-17"
308,"el-Hana, Hawraa","Portage","MI","Arts and crafts instruction","Mon 9-12, Mon 9-12"
309,"Roberts, Tiesha","Argyle","MN","Educational program development, Playing games (cards, board games), Home safety assessments, Home accessibility modifications, Reading aloud (books, newspapers), Travel companionship, Financial management assistance (budgeting), Travel companionship","Mon 9-12, Mon 9-12"
310,"el-Shaheed, Saleel","Jamestown","VA","Arts and crafts instruction, Respite care (for family caregivers), Volunteer coordination, Minor home repairs (plumbing, electrical), Grocery shopping assistance","Mon 9-12, Mon 9-12, Tue 14-17"
311,"al-Emami, Rushdi","New York","NY","Pet care (walking, feeding), Financial management assistance (budgeting), Respite care (for family caregivers)","Mon 9-12, Tue 14-17, Tue 14-17"
312,"Lopez, Balfre","Magdalena","NM","Grocery shopping assistance, Gardening and yard work, Tech support (computers, phones, tablets), Fall prevention assistance, Fall prevention assistance","Mon 9-12, Mon 9-12"
313,"Hudson, Cameron","Montello","NV","Transportation (driving, accompanying), Travel companionship, Mental wellness support (non-clinical), Running errands (post office, pharmacy), Home safety assessments, Running errands (post office, pharmacy), Minor home repairs (plumbing, electrical), Volunteer coordination","Tue 14-17, Mon 9-12, Tue 14-17"
314,"Smeal, Donovan","Somerset","NJ","Playing games (cards, board games)","Mon 9-12, Tue 14-17"
315,"Mensah, Ashley","Glendale Springs","NC","Playing games (cards, board games), Senior center activities organization","Tue 14-17, Tue 14-17, Tue 14-17"
316,"Mcclendon, Destiny","Salinas","CA","Arts and crafts instruction, Tech support (computers, phones, tablets), Assistive technology training, Travel companionship, Home safety assessments, Companionship (social outings, visits), Fall prevention assistance","Mon 9-12, Mon 9-12, Tue 14-17"
317,"Gattis, Davis","Willow Springs","MO","Medication reminders (non-medical), Educational program development","Mon 9-12, Tue 14-17"
318,"Dupree, Mychel","Salt Lake City","UT","Social event planning","Mon 9-12, Mon 9-12"
319,"Medicine Bear, Heather","Melcher-dallas","IA","Legal assistance referrals, Senior center activities organization, Educational program development, Home accessibility modifications, Music and entertainment (playing instruments, singing), Legal assistance referrals, Financial management assistance (budgeting), Volunteer coordination","Tue 14-17, Tue 14-17"
320,"Rayo, Kirsten","Union Hill","NY","Volunteer coordination, Pet care (walking, feeding), Reading aloud (books, newspapers), Running errands (post office, pharmacy), Grocery shopping assistance, Legal assistance referrals","Tue 14-17, Mon 9-12"
321,"Ransom, Laura","Pickering","MO","Legal assistance referrals, Home safety assessments, Respite care (for family caregivers)","Tue 14-17, Tue 14-17"
322,"Wood, Seth Alan","Neptune","NJ","Medication reminders (non-medical), Reading aloud (books, newspapers), Meal preparation and cooking, Meal preparation and cooking, Walking and exercise assistance, Music and entertainment (playing instruments, singing), Pet care (walking, feeding)","Mon 9-12, Mon 9-12"
323,"Parsa, Jonah","Grand Isle","ME","Playing games (cards, board games), Legal assistance referrals, Meal preparation and cooking, Playing games (cards, board games), Mental wellness support (non-clinical), Tech support (computers, phones, tablets), Personal care assistance (dressing, bathing), Home safety assessments","Tue 14-17, Tue 14-17, Tue 14-17"
324,"Terahara, Judy","Boca Raton","FL","Transportation (driving, accompanying)","Mon 9-12, Tue 14-17"
325,"Yi, Ngoc","Goshen","MA","Senior center activities organization, Fall prevention assistance, Assistive technology training","Mon 9-12, Mon 9-12"
326,"Jenkins, Johnique","Knoxville","TN","Social event planning, Grocery shopping assistance, Assistive technology training, Gardening and yard work","Mon 9-12, Mon 9-12, Tue 14-17"
327,"Martin, Kiefer","Newark","DE","Travel companionship, Arts and crafts instruction, Personal care assistance (dressing, bathing), Transportation (driving, accompanying), Travel companionship, Medication reminders (non-medical), Assistive technology training, Minor home repairs (plumbing, electrical)","Tue 14-17, Mon 9-12, Tue 14-17"
328,"Champion IV, Bradley","Fort Mill","SC","Legal assistance referrals, Playing games (cards, board games), Fall prevention assistance, Mental wellness support (non-clinical), Running errands (post office, pharmacy), Gardening and yard work","Tue 14-17, Tue 14-17"
329,"Vargas, Kevin","Bethera","SC","Assistive technology training, Pet care (walking, feeding), Minor home repairs (plumbing, electrical), Travel companionship, Travel companionship, Minor home repairs (plumbing, electrical)","Tue 14-17, Tue 14-17"
330,"el-Mousa, Khawla","Pine Bluff","AR","Music and entertainment (playing instruments, singing), Playing games (cards, board games), Home safety assessments, Transportation (driving, accompanying), Senior center activities organization, Home accessibility modifications, Personal care assistance (dressing, bathing)","Tue 14-17, Mon 9-12, Tue 14-17"
331,"Wright, Essence","Union","MO","Personal care assistance (dressing, bathing), Meal preparation and cooking","Tue 14-17, Tue 14-17"
332,"Littlethunder, Daniel","Gloucester","VA","Respite care (for family caregivers), Home safety assessments","Mon 9-12, Tue 14-17, Mon 9-12"
333,"Ho, John","Yatesboro","PA","Meal preparation and cooking, Fall prevention assistance, Walking and exercise assistance, Travel companionship, Personal care assistance (dressing, bathing), Educational program development, Gardening and yard work, Grocery shopping assistance","Tue 14-17, Mon 9-12"
334,"Lewis, Austin","Grove City","OH","Running errands (post office, pharmacy)","Mon 9-12, Tue 14-17, Tue 14-17"
335,"Guyon, Joshua","Bridgeton","MO","Music and entertainment (playing instruments, singing), Fall prevention assistance, Transportation (driving, accompanying), Tech support (computers, phones, tablets), Home accessibility modifications, Housekeeping and cleaning, Financial management assistance (budgeting)","Mon 9-12, Tue 14-17"
336,"al-Kabir, Lutfi","Guayama","PR","Reading aloud (books, newspapers)","Tue 14-17, Tue 14-17, Mon 9-12"
337,"Gardner, Kimberly","Gamerco","NM","Gardening and yard work, Arts and crafts instruction","Tue 14-17, Tue 14-17"
338,"Boschock, Lisa","Santa Clarita","CA","Pet care (walking, feeding), Meal preparation and cooking, Medication reminders (non-medical), Home accessibility modifications, Playing games (cards, board games), Volunteer coordination, Running errands (post office, pharmacy)","Tue 14-17, Tue 14-17, Tue 14-17"
339,"Norman-Davis, Brandon","Ridgecrest","CA","Volunteer coordination, Respite care (for family caregivers), Housekeeping and cleaning, Pet care (walking, feeding), Tech support (computers, phones, tablets)","Mon 9-12, Mon 9-12"
340,"Price, Dyllan","Syracuse","NY","Tech support (computers, phones, tablets), Educational program development, Reading aloud (books, newspapers), Grocery shopping assistance, Pet care (walking, feeding), Minor home repairs (plumbing, electrical), Pet care (walking, feeding), Mental wellness support (non-clinical)","Tue 14-17, Mon 9-12"
341,"Larson, Samantha","Palos Park","IL","Travel companionship, Social event planning, Fall prevention assistance, Gardening and yard work, Minor home repairs (plumbing, electrical)","Tue 14-17, Mon 9-12, Mon 9-12"
342,"Rodriguez, Megan","High View","WV","Financial management assistance (budgeting)","Tue 14-17, Tue 14-17, Mon 9-12"
343,"Blackner, Althean","Goodrich","MI","Arts and crafts instruction, Walking and exercise assistance, Medication reminders (non-medical), Educational program development, Financial management assistance (budgeting)","Mon 9-12, Tue 14-17, Tue 14-17"
344,"al-Majid, Rafeeda","Las Vegas","NV","Pet care (walking, feeding), Assistive technology training, Assistive technology training, Reading aloud (books, newspapers), Gardening and yard work","Mon 9-12, Mon 9-12, Tue 14-17"
345,"Crockett, Andrew","Stanleytown","VA","Mental wellness support (non-clinical), Reading aloud (books, newspapers), Home safety assessments, Transportation (driving, accompanying), Arts and crafts instruction, Housekeeping and cleaning","Mon 9-12, Tue 14-17, Mon 9-12"
346,"al-Moradi, Kawthar","Hampton Falls","NH","Arts and crafts instruction, Senior center activities organization, Housekeeping and cleaning, Transportation (driving, accompanying), Social event planning, Playing games (cards, board games), Senior center activities organization, Volunteer coordination","Tue 14-17, Tue 14-17, Tue 14-17"
347,"Cramer, Rashiah","Altamont","TN","Walking and exercise assistance, Gardening and yard work, Volunteer coordination, Reading aloud (books, newspapers), Volunteer coordination, Tech support (computers, phones, tablets), Music and entertainment (playing instruments, singing)","Tue 14-17, Tue 14-17, Mon 9-12"
348,"Silver, Schyler","Hastings","PA","Fall prevention assistance, Social event planning, Personal care assistance (dressing, bathing), Companionship (social outings, visits), Mental wellness support (non-clinical), Respite care (for family caregivers), Educational program development, Gardening and yard work","Mon 9-12, Mon 9-12, Mon 9-12"
